,Unnamed: 0.1,Unnamed: 0,filename,null_gamma,null_gamma_recalculated,complete_gamma,gamma,choices,candidates,level,partisan,type,irv_winner,condorcet_winner,plurality_winner,approval_winner,median_voter_preference,median_voter_preference_position,median_voter_position,irv_median_voter_distance,condorcet_median_voter_distance,median_voter_preference_distance,bimodality,partisan2,diff,linearvotersfailure,mirror
285,293,304,Minneapolis_11022021_CityCouncilWard3.csv,0.8124,0.6911,0.746921034,0.92129767,3,4,LOCAL,NO,R,Michael Rainville,Michael Rainville,Michael Rainville,Michael Rainville,Merv Moorhead,0.493182671,0.443535773,0.090972897,0.090972897,0,3.597978886,0,[],no,
286,220,247,Oakland_11082016_CityCouncilDistrict7.csv,0.8811,0.6156,0.748419389,0.87876093,3,3,LOCAL,NO,R,LARRY E. REID,LARRY E. REID,LARRY E. REID,LARRY E. REID,MARCIE HODGE,0.5204152,0.443535773,0.556464227,0.556464227,0,3.94931853,0,[],no,
288,181,239,Oakland_11032020_MemberCityCouncilDist5OaklandRCV.csv,0.8761,0.593,0.752041785,0.85295111,5,3,LOCAL,NO,R,NOEL GALLO,NOEL GALLO,NOEL GALLO,NOEL GALLO,RICHARD SANTOS RAYA,0.552745312,0.443535773,0.443535773,0.443535773,0.55274528,3.905341536,0,"['IRV', 'Condorcet', 'Approval']",yes,
289,240,373,Minneapolis_11062009_Ward5CityCouncil.csv,0.8182,0.7069,0.753099174,0.88960737,3,5,LOCAL,NO,R,Don Samuels,Don Samuels,Don Samuels,Don Samuels,Don Samuels,0.433004222,0.443535773,0.010531551,0.010531551,0,2.500379959,0,[],no,
290,127,466,SanFrancisco_06052018_Mayor.csv,0.779320679,0.729470529,0.753821915,0.80451715,3,8,LOCAL,NO,E,LONDON BREED,LONDON BREED,LONDON BREED,MARK LENO,JANE KIM,0.453149477,0.443535773,0.062217827,0.062217827,0,2.923129719,0,"['IRV', 'Condorcet', 'Approval']",no,
291,230,507,Minneapolis_11022021_Mayor.csv,0.725651303,0.722845691,0.754452387,0.88374454,3,18,LOCAL,NO,E,Jacob Frey,Jacob Frey,Jacob Frey,Jacob Frey,"Christopher Robin ""CRZ"" Zimmerman",0,0.443535773,0.556194025,0.556194025,0.00010223,6.765612407,0,[],no,
292,214,238,Oakland_11032020_MemberCityCouncilDist1OaklandRCV.csv,0.9013,0.57,0.754749568,0.86912441,5,3,LOCAL,NO,R,DAN KALB,DAN KALB,DAN KALB,DAN KALB,STEPH DOMINGUEZ WALTON,0.502081011,0.443535773,0.443535773,0.443535773,0.50208104,3.680380121,0,[],no,
294,131,200,Corvallis_11082022_Mayor.csv,0.8788,0.66,0.761272575,0.80626065,3,3,LOCAL,NO,E,Charles Maughan,Charles Maughan,Charles Maughan,Andrew Struthers,Andrew Struthers,0.474444783,0.443535773,0.443535773,0.443535773,0.47444478,3.612971399,0,"['IRV', 'Condorcet', 'Plurality']",yes,
295,289,376,Minnetonka_11022021_CityCouncilAtLargeSeatB.csv,0.7929,0.7027,0.76287681,0.91912633,3,5,LOCAL,NO,R,Kimberly Wilburn,Kimberly Wilburn,Kimberly Wilburn,Kimberly Wilburn,Stacy Cranbrook,0.41452324,0.443535773,0.313117204,0.313117204,0,3.872436576,0,[],no,
296,83,429,SanLeandro_11022010_Mayor.csv,0.7894,0.7298,0.76785183,0.74659306,3,6,LOCAL,NO,E,STEPHEN H. CASSIDY,STEPHEN H. CASSIDY,ANTHONY B. ''TONY'' SANTOS,STEPHEN H. CASSIDY,JOYCE RUTLEDGE STAROSCIAK,0.496362638,0.443535773,0.054420841,0.054420841,0.001593976,3.382200824,0,"['IRV', 'Condorcet', 'Approval']",yes,
297,270,186,Berkeley_11032020_MemberCityCouncilDist3BerkeleyRCV.csv,0.8904,0.5362,0.769449715,0.90539837,5,3,LOCAL,NO,R,BEN BARTLETT,BEN BARTLETT,BEN BARTLETT,BEN BARTLETT,DEBORAH MATTHEWS,0.591775836,0.443535773,0.556464227,0.556464227,0,3.897255631,0,[],no,
298,205,277,WoodlandHills_11022021_Mayor.csv,0.8666,0.6551,0.770992366,0.86259544,3,3,LOCAL,NO,E,BRENT WINDER,BRENT WINDER,BRENT WINDER,BRENT WINDER,BENJAMIN J HILLYARD,0.588505356,0.443535773,0.556464227,0.556464227,0.41149464,3.968470097,0,"['IRV', 'Condorcet', 'Approval']",yes,
299,169,387,Oakland_11042014_CityCouncilDistrict2.csv,0.8085,0.7265,0.772015404,0.84237289,3,5,LOCAL,NO,R,ABEL GUILLEN,ABEL GUILLEN,ABEL GUILLEN,ABEL GUILLEN,ABEL GUILLEN,0.618915937,0.443535773,0.175380164,0.175380164,0.018092483,3.592691449,0,"['IRV', 'Condorcet', 'Plurality', 'Approval']",yes,
301,331,367,Minneapolis_11022021_CityCouncilWard11.csv,0.826426426,0.756856857,0.774960795,0.95059139,3,5,LOCAL,NO,R,Emily Koski,Emily Koski,Emily Koski,Emily Koski,Dillon Gherna,0.419707356,0.443535773,0.135990524,0.135990524,0,2.650205847,0,[],no,
303,334,313,Minneapolis_11062009_Ward9CityCouncil.csv,0.8646,0.7341,0.777777778,0.95322418,3,4,LOCAL,NO,R,Gary Schiff,Gary Schiff,Gary Schiff,Gary Schiff,Gary Schiff,0.427723768,0.443535773,0.015812006,0.015812006,0,3.354183594,0,[],no,
304,308,314,Minneapolis_11072017_PRBoardDistrict6.csv,0.8075,0.6748,0.779583638,0.93455511,3,4,LOCAL,NO,B,Brad Bourn,Brad Bourn,Brad Bourn,Bob Fine,Jennifer Zielinski,0.458967035,0.443535773,0.556464227,0.556464227,0.30255935,3.494750536,0,"['IRV', 'Condorcet']",yes,
305,244,339,Oakland_11062012_CityCouncilDistrict5.csv,0.8291,0.6646,0.780110301,0.89043522,3,4,LOCAL,NO,R,NOEL GALLO,NOEL GALLO,NOEL GALLO,NOEL GALLO,NOEL GALLO,0.391454269,0.443535773,0.052081504,0.052081504,0,2.940217366,0,[],no,
306,261,244,Oakland_11062012_CityCouncilDistrict7.csv,0.861738262,0.537462537,0.780900488,0.89814013,3,3,LOCAL,NO,R,LARRY E. REID,LARRY E. REID,LARRY E. REID,LARRY E. REID,SHERYL WALTON,0.524579154,0.443535773,0.443535773,0.443535773,0,3.862466485,0,[],no,
308,236,318,Minneapolis_11072017_Ward5CityCouncil.csv,0.8228,0.7025,0.784014369,0.88572109,3,4,LOCAL,NO,R,Jeremiah Ellison,Jeremiah Ellison,Jeremiah Ellison,Jeremiah Ellison,Jeremiah Ellison,0.36736701,0.443535773,0.076168763,0.076168763,0,2.734483175,0,[],no,
309,358,216,Minneapolis_11062009_Ward11CityCouncil.csv,0.8875,0.6007,0.791666667,0.9817363,3,3,LOCAL,NO,R,John Quincy,John Quincy,John Quincy,John Quincy,John Quincy,0.309534309,0.443535773,0.134001464,0.134001464,0,4.422573977,0,[],no,
310,165,399,SanFrancisco_11082011_DistrictAttorney.csv,0.815915916,0.738738739,0.792630983,0.84052145,3,5,LOCAL,NO,O,GEORGE GASCÓN,GEORGE GASCÓN,GEORGE GASCÓN,GEORGE GASCÓN,SHARMIN BOCK,0.415837444,0.443535773,0.443535773,0.443535773,0.19218011,3.592062137,0,['Approval'],no,
311,307,228,Minnetonka_11072023_CityCouncilWard3.csv,0.8755,0.6561,0.793040293,0.932718071,3,3,LOCAL,NO,R,Paula Ramaley,Paula Ramaley,Paula Ramaley,David Haeg,David Haeg,0.650824353,0.443535773,0.556464227,0.556464227,,4.505443919,,,,
312,151,303,Minneapolis_11022021_CityCouncilWard1.csv,0.808691309,0.661338661,0.793583191,0.82543993,3,4,LOCAL,NO,R,Elliott Payne,Elliott Payne,Elliott Payne,Elliott Payne,Kevin Reich,0.568292112,0.443535773,0.556464227,0.556464227,0.29171243,3.306188745,0,['Approval'],no,
313,275,340,Oakland_11082016_SchoolDirectorDistrict5.csv,0.8436,0.7449,0.794181575,0.9077419,3,4,LOCAL,NO,B,ROSIE TORRES,ROSIE TORRES,HUBER TRENADO,ROSIE TORRES,HUBER TRENADO,0.352961821,0.443535773,0.107030337,0.107030337,0,2.9358952,0,['Approval'],no,
314,222,320,Minneapolis_11072017_Ward7CityCouncil.csv,0.820620621,0.68038038,0.794631552,0.87976217,3,4,LOCAL,NO,R,Lisa Goodman,Lisa Goodman,Lisa Goodman,Lisa Goodman,Janne Flisrand,0.440574799,0.443535773,0.122989222,0.122989222,0,4.025248302,0,[],no,
315,249,316,Minneapolis_11072017_Ward3CityCouncil.csv,0.8271,0.6894,0.795054402,0.89175636,3,4,LOCAL,NO,R,Steve Fletcher,Steve Fletcher,Ginger Jentzen,Steve Fletcher,Steve Fletcher,0.287663525,0.443535773,0.155872248,0.155872248,0,3.807145599,0,[],no,
318,173,389,Oakland_11062012_CityCouncilAtLarge.csv,0.803696304,0.716083916,0.79823063,0.84562898,3,5,LOCAL,NO,R,REBECCA KAPLAN,REBECCA KAPLAN,REBECCA KAPLAN,REBECCA KAPLAN,THERESA ANDERSON,0.514527151,0.443535773,0.443535773,0.443535773,0.1916427,4.335296343,0,[],no,
319,207,268,SantaFe_03062018_CityCouncilDistrict2.csv,0.8755,0.5689,0.79953271,0.86289549,3,3,LOCAL,NO,R,Carol Romero-Wirth,Carol Romero-Wirth,Carol Romero-Wirth,Carol Romero-Wirth,Nate Downey,0.566272049,0.443535773,0.556464227,0.556464227,0,3.226476699,0,['Approval'],no,
320,122,405,Minneapolis_11052013_Ward9CityCouncil.csv,0.7654,0.6782,0.800436681,0.80072027,3,6,LOCAL,NO,R,ALONDRA CANO,ALONDRA CANO,ALONDRA CANO,ALONDRA CANO,ABDI ABDULLE,0.469195608,0.443535773,0.21373883,0.21373883,0.13130438,3.425972604,0,[],no,
321,291,250,Oakland_11082022_Schoolboarddistrict6.csv,0.8838,0.5601,0.80098661,0.92019266,5,3,LOCAL,NO,B,VALARIE BACHELOR,VALARIE BACHELOR,VALARIE BACHELOR,VALARIE BACHELOR,VALARIE BACHELOR,0.485073329,0.443535773,0.041537556,0.041537556,0,3.022663388,0,[],no,
323,258,404,Minneapolis_11022021_CityCouncilWard10.csv,0.7815,0.6979,0.801580176,0.89607823,3,6,LOCAL,NO,R,Aisha Chughtai,Aisha Chughtai,Aisha Chughtai,Aisha Chughtai,Katie Jones,0.505809611,0.443535773,0.102367746,0.102367746,0.16464159,3.344097416,0,[],no,
324,211,424,SanFrancisco_11022010_BoardofSupervisorsDistrict2.csv,0.7953,0.7313,0.801809777,0.86494553,3,6,LOCAL,NO,B,MARK FARRELL,MARK FARRELL,JANET REILLY,MARK FARRELL,MARK FARRELL,0.546356552,0.443535773,0.102820779,0.102820779,0.023088945,3.477588746,0,"['IRV', 'Condorcet', 'Approval']",yes,
325,274,327,Minneapolis_11072023_CityCouncilWard8.csv,0.8749,0.7917,0.802593279,0.907398213,3,4,LOCAL,NO,R,Andrea Jenkins,Andrea Jenkins,Soren Stevenson,Andrea Jenkins,Terry White,0.031061276,0.443535773,0.425236151,0.425236151,,8.313673052,,,,
327,253,192,Berkeley_11062018_CityCouncilDistrict4.csv,0.8921,0.5512,0.804311216,0.89405543,3,3,LOCAL,NO,R,KATE HARRISON,KATE HARRISON,KATE HARRISON,KATE HARRISON,BEN GOULD,0.487384137,0.443535773,0.443535773,0.443535773,0,3.538902013,0,['Approval'],no,
328,283,191,Berkeley_11062012_CityCouncilDistrict2.csv,0.868431568,0.558841159,0.805964369,0.91354614,3,3,LOCAL,NO,R,DARRYL MOORE,DARRYL MOORE,DARRYL MOORE,DARRYL MOORE,DENISHA DELANE,0.44996835,0.443535773,0.556464227,0.556464227,0,4.156312468,0,[],no,
329,217,374,Minneapolis_11062009_Ward8CityCouncil.csv,0.8255,0.765,0.809110629,0.87229228,3,5,LOCAL,NO,R,Elizabeth Glidden,Elizabeth Glidden,Elizabeth Glidden,Elizabeth Glidden,Gregory McDonald,0.533229733,0.443535773,0.443535773,0.443535773,0,6.567458243,0,[],no,
330,175,199,Corvallis_11082022_CityCouncilWard9.csv,0.8701,0.6103,0.809402146,0.84599507,3,3,LOCAL,NO,R,Tony Cadena,Tony Cadena,Tony Cadena,Tony Cadena,Tony Cadena,0.497639467,0.443535773,0.054103694,0.054103694,0,3.090500178,0,[],no,
331,281,260,SanFrancisco_11042008_BoardofSupervisorsDistrict7.csv,0.8925,0.5566,0.80942423,0.91195416,3,3,LOCAL,NO,B,SEAN R. ELSBERND,SEAN R. ELSBERND,SEAN R. ELSBERND,SEAN R. ELSBERND,JULIAN P. LAGOS,0.460349835,0.443535773,0.556464227,0.556464227,0,4.936506355,0,[],no,
332,353,196,Bloomington_11072023_CityCouncilDistrict4.csv,0.9002,0.5504,0.815656566,0.976390686,3,3,LOCAL,NO,R,Victor Rivas,Victor Rivas,Victor Rivas,Victor Rivas,Isaak Rooble,0.355012106,0.443535773,0.556464227,0.556464227,,5.254456689,,,,
333,256,361,SanLeandro_11062018_Mayor.csv,0.854654655,0.714614615,0.816166439,0.89574873,3,4,LOCAL,NO,E,PAULINE RUSSO CUTTER,PAULINE RUSSO CUTTER,PAULINE RUSSO CUTTER,PAULINE RUSSO CUTTER,PAULINE RUSSO CUTTER,0.40722196,0.443535773,0.036313813,0.036313813,0,2.749942978,0,[],no,
334,298,254,RedondoBeach_03042025_CityCouncilD1.csv,0.8964,0.5319,0.8173258,0.924395947,6,3,LOCAL,NO,R,BRAD WALLER,BRAD WALLER,BRAD WALLER,BRAD WALLER,BRAD WALLER,0.329663208,0.443535773,0.113872565,0.113872565,,2.666137593,,,,
335,328,262,SanFrancisco_11072006_BoardofSupervisorsDistrict8.csv,0.8658,0.5176,0.818553423,0.94961059,3,3,LOCAL,NO,B,Bevan Dufty,Bevan Dufty,Bevan Dufty,Bevan Dufty,Alix Amelia Rosenthal,0.571418942,0.443535773,0.556464227,0.556464227,0,3.783070357,0,[],no,
336,310,224,Minneapolis_11072017_Ward1CityCouncil.csv,0.8862,0.5528,0.819981998,0.93523616,3,3,LOCAL,NO,R,Kevin Reich,Kevin Reich,Kevin Reich,Kevin Reich,Jillia Pessenda,0.606431508,0.443535773,0.556464227,0.556464227,0.39356849,3.332181176,0,"['IRV', 'Condorcet', 'Plurality', 'Approval']",yes,
337,354,311,Minneapolis_11062009_Ward3CityCouncil.csv,0.868168168,0.734234234,0.820224719,0.97807217,3,4,LOCAL,NO,R,Diane Hofstede,Diane Hofstede,Diane Hofstede,Diane Hofstede,Diane Hofstede,0.457137402,0.443535773,0.013601629,0.013601629,0,2.899554542,0,[],no,
339,232,345,SanFrancisco_11032020_BOARDOFSUPERVISORSDISTRICT11.csv,0.811111111,0.686786787,0.826692179,0.88461047,3,4,LOCAL,NO,B,AHSHA SAFAI,AHSHA SAFAI,AHSHA SAFAI,AHSHA SAFAI,MARCELO COLUSSI,0.390430506,0.443535773,0.255943817,0.255943817,0,5.756380429,0,[],no,
340,304,193,Berkeley_11062018_CityCouncilDistrict7.csv,0.913686314,0.545954046,0.832533013,0.93070364,3,3,LOCAL,NO,R,RIGEL ROBINSON,RIGEL ROBINSON,RIGEL ROBINSON,RIGEL ROBINSON,RIGEL ROBINSON,0.416321243,0.443535773,0.02721453,0.02721453,0,2.638551995,0,[],no,
341,292,375,Minnetonka_11022021_CityCouncilAtLargeSeatA.csv,0.816383616,0.733766234,0.834315503,0.92129415,3,5,LOCAL,NO,R,Deb Calvert,Deb Calvert,Deb Calvert,Deb Calvert,Deb Calvert,0.26948627,0.443535773,0.174049504,0.174049504,0,4.133078965,0,[],no,
342,267,266,SanLeandro_11062012_CountyCouncilDistrict2.csv,0.872227772,0.593606394,0.835898461,0.90278274,3,3,LOCAL,NO,R,URSULA REED,URSULA REED,URSULA REED,MORGAN MACK-ROSE,MORGAN MACK-ROSE,0.455257442,0.443535773,0.443535773,0.443535773,0.45525745,3.131412261,0,"['IRV', 'Condorcet', 'Plurality']",yes,
343,360,319,Minneapolis_11072017_Ward6CityCouncil.csv,0.8186,0.6841,0.838082902,0.98849618,3,4,LOCAL,NO,R,Abdi Warsame,Abdi Warsame,Abdi Warsame,Abdi Warsame,Fadumo Yusuf,0.616501716,0.443535773,0.556464227,0.556464227,0,4.764604328,0,[],no,
344,279,264,SanLeandro_11042014_CountyCouncilDistrict3.csv,0.8963,0.5664,0.842421272,0.90945578,3,3,LOCAL,NO,R,LEE THOMAS,LEE THOMAS,LEE THOMAS,LEE THOMAS,VICTOR AGUILAR,0.445857601,0.443535773,0.443535773,0.443535773,0,3.306883686,0,['Approval'],no,
346,306,241,Oakland_11042014_CityCouncilDistrict4.csv,0.868668669,0.527627628,0.848319594,0.93248659,3,3,LOCAL,NO,R,ANNIE CAMPBELL WASHINGTON,ANNIE CAMPBELL WASHINGTON,ANNIE CAMPBELL WASHINGTON,ANNIE CAMPBELL WASHINGTON,JILL BROADHURST,0.433848153,0.443535773,0.443535773,0.443535773,0,3.545185472,0,[],no,
347,246,270,Springville_11022021_CityCouncil2yr.csv,0.8861,0.5548,0.854276896,0.89083403,3,3,LOCAL,NO,R,CHRIS SORENSEN,CHRIS SORENSEN,CHRIS SORENSEN,CHRIS SORENSEN,CHRIS SORENSEN,0.463860971,0.443535773,0.020325198,0.020325198,0,3.060280502,0,[],no,
348,299,359,SanLeandro_11042014_Mayor.csv,0.827372627,0.70989011,0.856379822,0.92543751,3,4,LOCAL,NO,E,PAULINE RUSSO CUTTER,PAULINE RUSSO CUTTER,PAULINE RUSSO CUTTER,PAULINE RUSSO CUTTER,DAN DILLMAN,0.40670183,0.443535773,0.207376194,0.207376194,0,3.920988544,0,[],no,
349,315,188,Berkeley_11042014_CityCouncilDistrict1.csv,0.913813814,0.519019019,0.857017158,0.93896967,3,3,LOCAL,NO,R,LINDA MAIO,LINDA MAIO,LINDA MAIO,LINDA MAIO,LINDA MAIO,0.609957863,0.443535773,0.16642209,0.16642209,0,2.698742398,0,[],no,
350,323,255,SanFrancisco_06052018_BoardofSupervisorsDistrict8.csv,0.8707,0.5051,0.858356058,0.94536442,3,3,LOCAL,NO,B,RAFAEL MANDELMAN,RAFAEL MANDELMAN,RAFAEL MANDELMAN,RAFAEL MANDELMAN,JEFF SHEEHY,0.392216284,0.443535773,0.443535773,0.443535773,0,3.377851934,0,[],no,
352,337,325,Minneapolis_11072023_CityCouncilWard4.csv,0.866733267,0.632967033,0.865781711,0.953864237,3,4,LOCAL,NO,R,LaTrisha M. Vetaw,LaTrisha M. Vetaw,LaTrisha M. Vetaw,LaTrisha M. Vetaw,Leslie Davis,0.467136451,0.443535773,0.443535773,0.443535773,,5.643995791,,,,
353,266,201,ElkRidge_11022021_Mayor.csv,0.8738,0.5981,0.866597725,0.90145147,3,3,LOCAL,NO,E,ROBERT HADDOCK,ROBERT HADDOCK,ROBERT HADDOCK,ROBERT HADDOCK,ROBERT HADDOCK,0.489229246,0.443535773,0.045693473,0.045693473,0,3.404009466,0,[],no,
355,325,324,Minneapolis_11072023_CityCouncilWard13.csv,0.848951049,0.73966034,0.872366487,0.947941647,3,4,LOCAL,NO,R,Linea Palmisano,Linea Palmisano,Linea Palmisano,Linea Palmisano,Kate Mortenson,0.030251786,0.443535773,0.425993618,0.425993618,,6.338889468,,,,
356,313,240,Oakland_11032020_SchoolDirectorDist1OaklandRCV.csv,0.873273273,0.597397397,0.877943727,0.93672061,5,3,LOCAL,NO,B,SAM DAVIS,SAM DAVIS,SAM DAVIS,SAM DAVIS,SAM DAVIS,0.547232188,0.443535773,0.103696415,0.103696415,0,3.215458096,0,[],no,
358,326,253,Portland_11082022_SchoolBoardDistrict3.csv,0.8992,0.5658,0.883973894,0.94852823,3,3,LOCAL,NO,B,"Opperman, Julianne R.","Opperman, Julianne R.","Opperman, Julianne R.","Opperman, Julianne R.","Opperman, Julianne R.",0.543178729,0.443535773,0.099642956,0.099642956,0,2.99301976,0,[],no,
360,344,248,Oakland_11082022_Schoolboarddistrict2.csv,0.862437562,0.579420579,0.916235016,0.96251905,5,3,LOCAL,NO,B,JENNIFER BROUHARD,JENNIFER BROUHARD,JENNIFER BROUHARD,JENNIFER BROUHARD,JENNIFER BROUHARD,0.43919917,0.443535773,0.004336603,0.004336603,0,2.929904195,0,[],no,
361,46,288,Albany_11082022_FAKECityCouncil.csv,0.6043,,,0.676396295,5,4,LOCAL,NO,R,ROBIN D  LOPEZ,NICK PILCH,JENNIFER HANSEN ROMERO,NICK PILCH,,,,,,,,,,,
373,373,11,SanFrancisco_11052024_Treasurer.csv,1,1,,1,3,1,LOCAL,NO,O,J,JOSÉ CISNEROS,JOSÉ CISNEROS,JOSÉ CISNEROS,,,,,,,,,,,
430,430,68,Berkeley_03072017_CityCouncilDistrict4.csv,1,1,,1,3,2,LOCAL,NO,R,KATE HARRISON,KATE HARRISON,KATE HARRISON,KATE HARRISON,KATE HARRISON,0,0.443535773,0.443535773,0.443535773,0,4.983012492,0,[],no,
431,431,69,Berkeley_11032020_MemberCityCouncilDist6BerkeleyRCV.csv,1,1,,1,5,2,LOCAL,NO,R,SUSAN WENGRAF,SUSAN WENGRAF,SUSAN WENGRAF,SUSAN WENGRAF,SUSAN WENGRAF,0,0.443535773,0.443535773,0.443535773,0,4.986485914,0,[],no,
432,432,70,Berkeley_11042014_CityCouncilDistrict7.csv,1,1,,1,3,2,LOCAL,NO,R,KRISS WORTHINGTON,KRISS WORTHINGTON,KRISS WORTHINGTON,KRISS WORTHINGTON,SEAN BARRY,0,0.443535773,0.556464227,0.556464227,0,4.899401365,0,[],no,
433,433,71,Berkeley_11052024_CityCouncilD2.csv,1,1,,1,5,2,LOCAL,NO,R,TERRY TAPLIN,TERRY TAPLIN,TERRY TAPLIN,TERRY TAPLIN,JENNY GUARINO,0,0.443535773,0.556464227,0.556464227,,4.777674752,,,,
434,434,72,Berkeley_11052024_CityCouncilD6.csv,1,1,,1,5,2,LOCAL,NO,R,BRENT BLACKABY,BRENT BLACKABY,BRENT BLACKABY,BRENT BLACKABY,ANDY KATZ,0,0.443535773,0.556464227,0.556464227,,4.789720093,,,,
435,435,73,Berkeley_11062012_CityCouncilDistrict3.csv,1,1,,1,3,2,LOCAL,NO,R,MAX ANDERSON,MAX ANDERSON,MAX ANDERSON,MAX ANDERSON,MAX ANDERSON,0,0.443535773,0.443535773,0.443535773,0,5.193174535,0,[],no,
436,436,74,Berkeley_11062012_CityCouncilDistrict5.csv,1,1,,1,3,2,LOCAL,NO,R,LAURIE CAPITELLI,LAURIE CAPITELLI,LAURIE CAPITELLI,LAURIE CAPITELLI,SOPHIE HAHN,0,0.443535773,0.556464227,0.556464227,0,5.446748338,0,[],no,
437,437,75,Berkeley_11062012_CityCouncilDistrict6.csv,1,1,,1,3,2,LOCAL,NO,R,SUSAN WENGRAF,SUSAN WENGRAF,SUSAN WENGRAF,SUSAN WENGRAF,PHOEBE SORGEN,0,0.443535773,0.556464227,0.556464227,0,29.26175321,0,[],no,
438,438,76,Berkeley_11062018_CityAuditor.csv,1,1,,1,3,2,LOCAL,NO,O,JENNY WONG,JENNY WONG,JENNY WONG,JENNY WONG,JENNY WONG,0,0.443535773,0.443535773,0.443535773,0,4.251565928,0,[],no,
439,439,77,Berkeley_11082016_CityCouncilDistrict5.csv,1,1,,1,3,2,LOCAL,NO,R,SOPHIE HAHN,SOPHIE HAHN,SOPHIE HAHN,SOPHIE HAHN,STEPHEN MURPHY,0,0.443535773,0.556464227,0.556464227,0,5.329269128,0,[],no,
442,442,80,Minneapolis_11022021_CityCouncilWard6.csv,1,1,,1,3,2,LOCAL,NO,R,Jamal Osman,Jamal Osman,Jamal Osman,Jamal Osman,Jamal Osman,0,0.443535773,0.443535773,0.443535773,0,6.53828704,0,[],no,
443,443,81,Minneapolis_11022021_CityCouncilWard8.csv,1,1,,1,3,2,LOCAL,NO,R,Andrea Jenkins,Andrea Jenkins,Andrea Jenkins,Andrea Jenkins,"Robert ""Bob"" Sullentrop",0,0.443535773,0.556464227,0.556464227,0,12.91855357,0,[],no,
444,444,82,Minneapolis_11022021_ParkBoardDistrict4.csv,1,1,,1,3,2,LOCAL,NO,B,Elizabeth Shaffer,Elizabeth Shaffer,Elizabeth Shaffer,Elizabeth Shaffer,Jono Cowgill,0,0.443535773,0.556464227,0.556464227,0,5.9434709,0,[],no,
445,445,83,Minneapolis_11052013_PRBoardDistrict2.csv,1,1,,1,3,2,LOCAL,NO,B,JON OLSON,JON OLSON,JON OLSON,JON OLSON,JON OLSON,0,0.443535773,0.443535773,0.443535773,0,4.831516218,0,[],no,
446,446,84,Minneapolis_11052013_PRBoardDistrict6.csv,1,1,,1,3,2,LOCAL,NO,B,BRAD BOURN,BRAD BOURN,BRAD BOURN,BRAD BOURN,JOSH NEIMAN,0,0.443535773,0.556464227,0.556464227,0,4.810986462,0,[],no,
447,447,85,Minneapolis_11062009_PRBoardDistrict2.csv,1,1,,1,3,2,LOCAL,NO,B,Jon Olson,Jon Olson,Jon Olson,Jon Olson,Jon Olson,0,0.443535773,0.443535773,0.443535773,0,5.623328659,0,[],no,
448,448,86,Minneapolis_11062009_PRBoardDistrict3.csv,1,1,,1,3,2,LOCAL,NO,B,Scott Vreeland,Scott Vreeland,Scott Vreeland,Scott Vreeland,Mike Wendorf,0,0.443535773,0.556464227,0.556464227,0,6.479562362,0,[],no,
449,449,87,Minneapolis_11062009_Ward2CityCouncil.csv,1,1,,1,3,2,LOCAL,NO,R,Cam Gordon,Cam Gordon,Cam Gordon,Cam Gordon,Allen A. Aigbogun,0,0.443535773,0.556464227,0.556464227,0,8.109397481,0,[],no,
450,450,88,Minneapolis_11072017_PRBoardDistrict2.csv,1,1,,1,3,2,LOCAL,NO,B,Kale Severson,Kale Severson,Kale Severson,Kale Severson,Kale Severson,0,0.443535773,0.443535773,0.443535773,0,4.58676212,0,[],no,
451,451,89,Minneapolis_11072017_PRBoardDistrict4.csv,1,1,,1,3,2,LOCAL,NO,B,Jono Cowgill,Jono Cowgill,Jono Cowgill,Tom Nordyke,Jono Cowgill,0,0.443535773,0.443535773,0.443535773,0,4.929742613,0,[],no,
452,452,90,Minneapolis_11072017_Ward13CityCouncil.csv,1,1,,1,3,2,LOCAL,NO,R,Linea Palmisano,Linea Palmisano,Linea Palmisano,Linea Palmisano,Linea Palmisano,0,0.443535773,0.443535773,0.443535773,0,6.638105789,0,[],no,
453,453,91,Minnetonka_11022021_Mayor.csv,1,1,,1,3,2,LOCAL,NO,E,Brad Wiersum,Brad Wiersum,Brad Wiersum,Brad Wiersum,Brad Wiersum,0,0.443535773,0.443535773,0.443535773,0,6.877615989,0,[],no,
466,466,104,Oakland_11022010_CityAuditor.csv,1,1,,1,3,2,LOCAL,NO,O,COURTNEY RUBY,COURTNEY RUBY,COURTNEY RUBY,COURTNEY RUBY,COURTNEY RUBY,0,0.443535773,0.443535773,0.443535773,0,4.192628119,0,[],no,
467,467,105,Oakland_11022010_CityCouncilDistrict2.csv,1,1,,1,3,2,LOCAL,NO,E,PATRICIA KERNIGHAN,PATRICIA KERNIGHAN,PATRICIA KERNIGHAN,PATRICIA KERNIGHAN,PATRICIA KERNIGHAN,0,0.443535773,0.443535773,0.443535773,0,4.595292637,0,[],no,
468,468,106,Oakland_11022010_SchoolDirectorDistrict4.csv,1,1,,1,3,2,LOCAL,NO,B,GARY D. YEE,GARY D. YEE,GARY D. YEE,GARY D. YEE,GARY D. YEE,0,0.443535773,0.443535773,0.443535773,0,4.313227084,0,[],no,
469,469,107,Oakland_11032020_CityAttorneyOaklandRCV.csv,1,1,,1,5,2,LOCAL,NO,O,BARBARA PARKER,BARBARA PARKER,BARBARA PARKER,BARBARA PARKER,BARBARA PARKER,0,0.443535773,0.443535773,0.443535773,0,3.845169214,0,[],no,
